COD. ART.;DESCRIZIONE;MIOW N.PEZZI 1a cons.;MIOW KG 1a cons.;MIOW N.PEZZI 2a cons.;MIOW KG 2a cons.;SULT N.PEZZI 1a cons.;SULT KG 1a cons.;SULT N.PEZZI 2a cons.;SULT KG 2a cons.;BEOW N.PEZZI 1a cons.;BEOW KG 1a cons.;BEOW N.PEZZI 2a cons.;BEOW KG 2a cons.;EDOW N.PEZZI 1a cons.;EDOW KG 1a cons.;EDOW N.PEZZI 2a cons.;EDOW KG 2a cons.;MTPW N.PEZZI 1a cons.;MTPW KG 1a cons.;MTPW N.PEZZI 2a cons.;MTPW KG 2a cons.;VTPW N.PEZZI 1a cons.;VTPW KG 1a cons.;VTPW N.PEZZI 2a cons.;VTPW KG 2a cons.;ONE N.PEZZI 1a cons.;ONE KG 1a cons.;ONE N.PEZZI 2a cons.;ONE KG 2a cons.
726695;FOCACCINE;55;13.75;35;8.75;26;6.5;11;2.75;44;11;19;4.75;19;4.75;9;2.25;;;;;;;;;76;19;26;6.5
726701;FOCACCIA;9;.9;0;0;6;.6;7;.7;14;1.4;8;.8;5;.5;8;.8;;;;;;;;;6;.6;3;.3
726705;FOCACCINE CON OLIVE;6;1.5;5;1.25;7;1.75;1;.25;7;1.75;2;.5;5;1.25;1;.25;;;;;;;;;13;3.25;2;.5
726708;LINGUE;20;1.92;2;.19;1;.1;3;.29;2;.19;0;0;3;.29;1;.1;;;;;;;;;18;1.73;1;.1
726709;LINGUE RUSTICHE;12;1.15;5;.48;4;.38;3;.29;0;0;1;.1;2;.19;0;0;;;;;;;;;8;.77;3;.29
726713;FOCACCINE CON POMODORINI;5;1.25;2;.5;6;1.5;2;.5;10;2.5;2;.5;2;.5;0;0;;;;;;;;;10;2.5;11;2.75
740015;PALLONCINO INTEGRALE;24;10.08;10;4.2;17;7.14;6;2.52;13;5.46;2;.84;12;5.04;4;1.68;;;;;;;;;28;11.76;10;4.2
740024;CIABATTA GRANI ANTIC.IT;15;4.8;14;4.48;9;2.88;4;1.28;9;2.88;4;1.28;4;1.28;1;.32;;;;;;;;;21;6.72;2;.64
740039;SFIZIOSO ALLE OLIVE;25;5.75;4;.92;19;4.37;5;1.15;8;1.84;7;1.61;7;1.61;5;1.15;;;;;;;;;20;4.6;10;2.3
740040;SFIZIOSO CON NOCI;9;2.07;2;.46;;;;;1;.23;2;.46;6;1.38;0;0;;;;;;;;;5;1.15;0;0
740047;FILONE TIROLESE;12;3.84;4;1.28;3;.96;7;2.24;7;2.24;1;.32;1;.32;2;.64;;;;;;;;;18;5.76;12;3.84
740216;BOCCONCINO GRANO DURO;14;6.72;11;5.28;5;2.4;1;.48;2;.96;4;1.92;4;1.92;5;2.4;;;;;;;;;21;10.08;4;1.92
740907;SFILATINO GRANO DURO;25;12.5;6;3;10;5;8;4;10;5;2;1;13;6.5;4;2;;;;;;;;;20;10;0;0
740912;BOCCONCINO MORBIDO;74;34.04;29;13.34;45;20.7;12;5.52;39;17.94;23;10.58;32;14.72;26;11.96;;;;;;;;;84;38.64;30;13.8
740913;SFILATINO MORBIDO;47;23.5;25;12.5;25;12.5;14;7;32;16;5;2.5;37;18.5;10;5;;;;;;;;;45;22.5;9;4.5
740914;SICILIANO;35;11.55;6;1.98;12;3.96;7;2.31;12;3.96;3;.99;5;1.65;1;.33;;;;;;;;;33;10.89;12;3.96
740926;BOCCONCINO RUSTICO;26;10.4;13;5.2;11;4.4;6;2.4;12;4.8;8;3.2;16;6.4;3;1.2;;;;;;;;;28;11.2;15;6
740940;FILONE GRANO DURO;34;18.7;22;12.1;14;7.7;11;6.05;15;8.25;7;3.85;16;8.8;6;3.3;;;;;;;;;42;23.1;14;7.7
740944;SPOLETTA DELLE ANDE GRAN;19;11.4;9;5.4;13;7.8;4;2.4;4;2.4;8;4.8;8;4.8;8;4.8;;;;;;;;;24;14.4;14;8.4
